recipe_id,recipe_name,recipe_instructions
1001,Lemon Chicken,"Marinate chicken with lemon juice, minced garlic, olive oil and pepper. Bake or pan-fry until it's golden and cooked through."
1002,Tomato and Basil Pasta,Cook pasta until al dente. Fry off garlic in olive oil and then add tomato puree and pepper. Mix the pasta with the sauce and stir.
1003,Veg Stir Fry,Heat oil in a pan or a wok. Add and stir fry the chopped vegetables until nice and tender. Add soy sauce and any other condiments that you wish to add and serve.
1004,Avocado Salad,Slice avocado and mix with salad leaves. Drizzle lemon juice and add salt and pepper and mix well.
1005,Honey-Glazed Salmon,"Mix honey, soy sauce and minced garlic into a glaze. Brush salmon with glaze and bake until cooked. Serve with any side you prefer."
1006,Banana pancakes,"Mash bananas with eggs, flour and baking powder. Fry batter in pan until golden on both sides."
1007,Chicken and rice bowl,Cook rice and set to aside. Dice chicken. Stir fry chicken and bell peppers in oil with soy sauce. Serve over rice with garnishes of your choice.
1008,Bacon and Cheese Omlette,"Cook bacon until crispy and chop it up. Whisk eggs, salt and pepper and pour into batter. Put the chopped bacon and cheese and roll omlette over and wait until cooked."
1009,Brocolli and Cheese soup,Saute brocolli in butter then blend with milk until it's smooth. Stir in grated cheese. Season with pepper and simmer.
1010,Spaghetti Carbonara,"Cook bacon until crispy. Toss spaghetti with whisked eggs, cheese and the cooked bacon. Cook on low heat and then put pepper and serve."
1011,Beef mince stir fry,"Cook beef mince until brown and crispy. Add chopped onions, bell peppers and soy sauce. Mix together and sprinkle with paprika. Serve."
1012,Hummus and Veggie wrap,"Spread hummus on bread. Add sliced cucumber, bell peppers and salad leaves. Roll up and serve."
1013,Butter chicken curry,"Cook chicken in butter and minced garlic. Add tomato puree, paprika and simmer. Serve with rice or naan."
1014,Sausage and onion gravy,"Cook or airfry sausage and set aside. Saute onions in butter, then stir in flour and stock to make gravy. Add sausages and simmer briefly. Can serve with mashed potatos."
1015,Chicken and brocolli stir fry,"Heat oil in pan/wok and fry off garlic. Season chicken before with paprika, lemon juice, pepper and salt. Fry off chicken and  brocolli until tender. Stir in with soy sauce and serve."
1016,Beef mince tacos,"Cook beef mince with diced onions, tomatoes and paprika. Serve in taco shells with lettuce. "
1017,Tuna melt,"Mix tuna with mayonaise, pepper, salt, lemon juice and sweetcorn in a bowl. Use this mix as filler for a sandwich. Make sure to add cheese on top of the tuna filler. Toast on both sides and serve."
1018,Chicken ceasar salad,"Cook chicken and slice thinly. Toss with salad leaves, mayonnaise, grated cheese and garlic croutons."
1019,Garlic Butter Prawns with rice.,Melt butter in pan and fry off garlic. Add prawns and cook until pink. Squeeze lemon juice and serve with rice.
1020,Bacon and Mushroom risotto,"Cook bacon and mushroom and set aside. Cook rice in butter and water, stir in bacon, mushrooms and cheese."
